dataset,target_language,repo,repo_url,pr_url,base_commit,head_commit,path,from_line,to_line,note,category,pr_files_changed,pr_lines_added,pr_lines_removed,pr_total_lines_changed,num_comments,repo_size_kb,repo_total_files,repo_python_files,repo_total_directories,repo_max_directory_depth
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/7952,4936d01872b8719ede33f9a11dc8e898c33d39e4,924d771e18000f4cb223575189daa6d2c6c5a9c1,comfy_extras/nodes_string.py,5,5,The newly added `normalize_path` function is unused and constitutes unnecessary code that should be removed.,Maintainability and Readability,2,323,0,323,7,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/7952,4936d01872b8719ede33f9a11dc8e898c33d39e4,924d771e18000f4cb223575189daa6d2c6c5a9c1,comfy_extras/nodes_string.py,189,194,"`execute` does not return a value for unexpected `mode` values (or if a new mode is added later). In ComfyUI nodes, missing return can surface as `None` and crash downstream. Add an `else` branch that returns `(False,)` (or raise a clear error) to guarantee a tuple return for all paths.

```suggestion
        if mode == ""Equal"":
            return (a == b,)
        elif mode == ""StartsWith"":
            return (a.startswith(b),)
        elif mode == ""EndsWith"":
            return (a.endswith(b),)
        else:
            return (False,)
```",Code Defect,2,323,0,323,7,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/7952,4936d01872b8719ede33f9a11dc8e898c33d39e4,924d771e18000f4cb223575189daa6d2c6c5a9c1,comfy_extras/nodes_string.py,275,283,"In ""All Matches"" mode, when the regex pattern contains capturing groups, re.findall returns tuples where each tuple contains the groups for one match. Currently, the code extracts only the first group (m[0]) from each match, potentially losing data from other groups. If the intention is to retrieve all full matched substrings (regardless of grouping), consider using re.finditer and accessing the full match via .group(0). Alternatively, if keeping only the first group is intended, consider clarifying this behavior.
",Code Defect,2,323,0,323,7,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/7952,4936d01872b8719ede33f9a11dc8e898c33d39e4,924d771e18000f4cb223575189daa6d2c6c5a9c1,comfy_extras/nodes_string.py,285,290,"Off-by-one bug: `len(match.groups()) >= group_index` is incorrect for `group_index` because `groups()` excludes group 0. For example, with 1 capturing group and `group_index=1`, `len(groups())` is 1, so `>= 1` passes, OK; but with `group_index=2` it correctly fails. The real issue is when `group_index=0`: `len(groups()) >= 0` passes but `match.group(0)` is the full match, not a group. If you intend to allow 0 meaning the full match, handle it explicitly; otherwise enforce `min=1` and validate `group_index` as `1 <= group_index <= match.re.groups`.

```suggestion
            elif mode == ""First Group"":
                match = re.search(regex_pattern, string, flags)
                if not match:
                    result = """"
                elif group_index == 0:
                    result = match.group(0)  # full match
                elif 1 <= group_index <= match.re.groups:
                    result = match.group(group_index)
                else:
                    result = """"
```",Code Defect,2,323,0,323,7,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/7952,4936d01872b8719ede33f9a11dc8e898c33d39e4,924d771e18000f4cb223575189daa6d2c6c5a9c1,comfy_extras/nodes_string.py,296,297,"Logic issue: The condition `match.groups()` evaluates to False if the regex pattern contains no capturing groups (e.g., `\d+`), which prevents the code from entering the block even if `group_index` is 0. This makes it impossible to extract the whole match (group 0) in 'All Groups' mode for patterns without capturing groups.

Additionally, `match.group(group_index)` can return `None` for optional groups that didn't match, which would cause `join_delimiter.join(results)` to raise a TypeError. It is recommended to handle `None` values.
",Code Defect,2,323,0,323,7,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/8446,4dcd698e489da69294ee01de0350a9a02e3e4b41,c7b25784b141a298d8ee5f0d830a29da6e8a3d54,comfy/ldm/cosmos/blocks.py,799,800,"Potential API/logic issue: the checkpoint path calls `block` with *positional* args only, while the normal path passes `rope_emb_L_1_1_D` and `adaln_lora_B_3D` as keyword args. If `block.forward` defines these as keyword-only (or the positional order differs), the checkpointed call will pass wrong values or raise a `TypeError`, causing training-only failures. Safer: wrap `block` in a lambda/closure and pass kwargs explicitly, keeping the same call signature as the non-checkpoint branch (also improves readability).

Also consider the 2.0+ API: `torch.utils.checkpoint.checkpoint(function, *args, use_reentrant=...)` supports kwargs in recent PyTorch, but for compatibility, a closure is most robust.

```suggestion
            if self.training:
                def _blk(_x, _emb, _ctx, _mask, _rope, _adaln):
                    return block(
                        _x,
                        _emb,
                        _ctx,
                        _mask,
                        rope_emb_L_1_1_D=_rope,
                        adaln_lora_B_3D=_adaln,
                    )
                x = torch.utils.checkpoint.checkpoint(
                    _blk,
                    x,
                    emb_B_D,
                    crossattn_emb,
                    crossattn_mask,
                    rope_emb_L_1_1_D,
                    adaln_lora_B_3D,
                    use_reentrant=False,
                )
```",Code Defect,12,948,23,971,22,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/8446,4dcd698e489da69294ee01de0350a9a02e3e4b41,c7b25784b141a298d8ee5f0d830a29da6e8a3d54,comfy/ldm/cosmos/blocks.py,800,800,"The checkpointing implementation exclusively processes blocks during training, omitting the forward pass for evaluation which breaks inference. This critical logic gap requires adding non-checkpointed block execution for non-training scenarios.",Code Defect,12,948,23,971,22,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/8446,4dcd698e489da69294ee01de0350a9a02e3e4b41,c7b25784b141a298d8ee5f0d830a29da6e8a3d54,comfy/ldm/modules/attention.py,756,756,"Consider retaining `+=` for potential performance benefits associated with in-place accumulation unless deliberate copy semantics intended.
",Performance,12,948,23,971,22,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/8446,4dcd698e489da69294ee01de0350a9a02e3e4b41,c7b25784b141a298d8ee5f0d830a29da6e8a3d54,comfy/ldm/modules/attention.py,796,801,"Inconsistent residual connection pattern. This line was changed from `x += n` to `x = n + x`, but line 713 in the same method still uses `x += x_skip`. The inconsistency in both operation type (in-place vs out-of-place) and operand order within the same method may indicate incomplete refactoring.
",Maintainability and Readability,12,948,23,971,22,86773,776,575,160,4
aacr_bench,python,comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI,https://github.com/comfyanonymous/ComfyUI/pull/8446,4dcd698e489da69294ee01de0350a9a02e3e4b41,c7b25784b141a298d8ee5f0d830a29da6e8a3d54,comfy/weight_adapter/base.py,15,16,"The `dora_scale` argument is defined as `torch.Tensor` which implies it is mandatory. However, in many cases (like standard LoRA), this scale is not present. It is recommended to change the type hint to `Optional[torch.Tensor]` and possibly provide a default value of `None` to allow flexibility for subclasses and callers.
",Code Defect,12,948,23,971,22,86773,776,575,160,4
